      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1.psd:D 
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-zaretski-sholem.psd:D 
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-ukraine.psd:D 
     17 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D 
     17 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D 
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1579e-shir.psd#:D 0
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd:D 0
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1.psd:D 0
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1798w-diskurs.psd:D 0
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-weinreich-shpotlider.psd:D 0
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D @a
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D @a
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1910e-grine-felder.psd:D @a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/19xxe-argentine.psd:D @a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1783e-ukraine-1.psd:D a
     12 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1800e-nakhman.psd:D a
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1819e-perl.psd:D a
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-elmale.psd:D a
     13 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-ukraine-2.psd:D a
     27 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1848e-judah.psd:D a
    332 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1910e-grine-felder.psd:D a
     52 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1927e-shatzky-teshuat.psd#:D a
     52 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-shatzky-teshuat.psd:D a
     29 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-zaretski-sholem.psd:D a
     26 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-kines.psd:D a
     47 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-messiah.psd:D a
     58 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-zaretski-mendele.psd:D a
     24 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-ukraine.psd:D a
     10 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-vaad.psd:D a
     17 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-rubashov.psd:D a
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-tsherikover.psd:D a
     19 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-weinreich-shpotlider.psd:D a
     36 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd:D a
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1944e-biokhemie.psd:D a
    147 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1946e-mark.psd:D a
   2197 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D a
   2197 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D a
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1959e-niger-sarah.psd:D a
      8 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/19xxe-argentine.psd:D a
      8 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D a
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1783e-ukraine-1.psd:D a@
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1819e-perl.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1848e-judah.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1927e-shatzky-teshuat.psd#:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-shatzky-teshuat.psd:D a@
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-zaretski-sholem.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-messiah.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-zaretski-mendele.psd:D a@
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D a@
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd:D an
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1619w-letters-prague.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1675e-ashkenaz-un-polak.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1717e-poznan.psd:D an
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1798w-diskurs.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1800e-nakhman.psd:D an
